"%s Item(s)","%s件商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","版权所有 &copy; 2008 Magento 演示商店"
"(ver. %s)","(版本 %s)"
"Click <a href=""%s"">here</a> if nothing has happened","如果没有反应，请点击 <a href=""%s"">这里</a>"
"Close Window","关闭窗口"
"Default Description","缺省说明"
"Default welcome msg!","缺省欢迎信息！"
"Help Us to Keep Magento Healthy","协助我们完善 Magento"
"Interface Language","界面语言"
"Items %s to %s of %s total","%s到%s，共%s"
"Next Page","下一页"
"Page:","页："
"Previous Page","上一页"
"Redirecting...","正在重定向页面..."
"Report All Bugs","报告所有错误"
"Select Store","选择商店"
"Show","显示"
"Skip to Footer","转到页脚"
"Skip to Left Column","转到左列"
"Skip to Main Content","转到主页眉"
"Skip to Right Column","转到右列"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有订单都不会被处理。"
"Welcome, %s!","欢迎您，%s!"
"You're currently on:","当前登录帐号："
"Your Language","您的语言"
"Your Language:","您的语言："
"per page","每页"
